"\"De vita beata\" / Sénèque ; texte latin, d'après l'édition de Koch, précédé d'une notice sur la vie de Sénèque, avec un résumé analytique de l'ouvrage, accompagné de notes... et suivi d'un appendice, par E. Maillet,...","Sénèque (0004 av. J.-C.-0065)","","","Gallica","http://gallica.bnf.fr/ark:/12148/bpt6k5496839x","\"De vita beata\" / Sénèque ; texte latin, d'après l'édition de Koch, précédé d'une notice sur la vie de Sénèque, avec un résumé analytique de l'ouvrage, accompagné de notes... et suivi d'un appendice, par E. Maillet,... Sénèque (0004 av. J.-C.-0065) Gallica"
"\"Lorenzaccio\", mises en scène d'hier et d'aujourd'hui : [exposition, Avignon, Maison Jean Vilar, 1979] / Maison Jean Vilar ; [catalogue réd. par Monique Cornand et Melly Puaux] ; [introd. par Cécile Giteau]","Maison Jean Vilar (Avignon)","","","Gallica","http://gallica.bnf.fr/ark:/12148/bpt6k6533935g","\"Lorenzaccio\", mises en scène d'hier et d'aujourd'hui : [exposition, Avignon, Maison Jean Vilar, 1979] / Maison Jean Vilar ; [catalogue réd. par Monique Cornand et Melly Puaux] ; [introd. par Cécile Giteau] Maison Jean Vilar (Avignon) Gallica"
"Abregé de la vie des peintres , avec des reflexions sur leurs ouvrages, et un Traité du peintre parfait, de la connoissance des desseins,&amp; de l'utilité des estampes","Piles, Roger de (1635-1709)","","","Gallica","http://gallica.bnf.fr/ark:/12148/bpt6k6568782t","Abregé de la vie des peintres , avec des reflexions sur leurs ouvrages, et un Traité du peintre parfait, de la connoissance des desseins,&amp; de l'utilité des estampes Piles, Roger de (1635-1709) Gallica"
"Abrégé d'histoire de la Savoie en 10 leçons : avec 20 gravures et 3 cartes dans le texte / F. Christin ... et François Vermale,... ; préface de M. Ch. Faubert ...","","","","Gallica","http://gallica.bnf.fr/ark:/12148/bpt6k6576658g","Abrégé d'histoire de la Savoie en 10 leçons : avec 20 gravures et 3 cartes dans le texte / F. Christin ... et François Vermale,... ; préface de M. Ch. Faubert ...  Gallica"
"Abrégé d'histoire naturelle pour l'instruction de la jeunesse Imité de l'allemand de M. Raff, professeur d'hist. et de géogr. à Goetting ; par M. Perrault. Partie 1","","","","Gallica","http://gallica.bnf.fr/ark:/12148/bpt6k1041457r","Abrégé d'histoire naturelle pour l'instruction de la jeunesse Imité de l'allemand de M. Raff, professeur d'hist. et de géogr. à Goetting ; par M. Perrault. Partie 1  Gallica"
"Abrégé de l'histoire romaine... [par l'abbé C.-F.-X. Millot]","Millot, Claude-François-Xavier (1726-1785)","","","Gallica","http://gallica.bnf.fr/ark:/12148/bpt6k10567907","Abrégé de l'histoire romaine... [par l'abbé C.-F.-X. Millot] Millot, Claude-François-Xavier (1726-1785) Gallica"
"Abrégé des antiquités nationales ou Recueil de monuments pour servir à l'histoire de France / par Aubin-Louis Millin,...","Millin, Aubin-Louis (1759-1818)","","","Gallica","http://gallica.bnf.fr/ark:/12148/bpt6k6379775s","Abrégé des antiquités nationales ou Recueil de monuments pour servir à l'histoire de France / par Aubin-Louis Millin,... Millin, Aubin-Louis (1759-1818) Gallica"
"Abrégé du grand dictionnaire de technologie, ou Nouveau dictionnaire des arts et métiers, de l'économie industrielle et commerciale. II. Bou-Dyn / par MM. Francoeur, Robiquet, Payen et Pelouze","Francoeur, Louis-Benjamin (1773-1849)Pelouze, EdmondRobiquet, Henri-Edmond (1822-1860)Payen, Anselme (1795-1871)","","","Gallica","http://gallica.bnf.fr/ark:/12148/bpt6k62903911","Abrégé du grand dictionnaire de technologie, ou Nouveau dictionnaire des arts et métiers, de l'économie industrielle et commerciale. II. Bou-Dyn / par MM. Francoeur, Robiquet, Payen et Pelouze Francoeur, Louis-Benjamin (1773-1849)Pelouze, EdmondRobiquet, Henri-Edmond (1822-1860)Payen, Anselme (1795-1871) Gallica"
"Administration diocésaine. Gerbe de notes et documents. Ordinations. Consécrations d'églises et d'autels. Conférences ecclésiastiques. Lettres et mandements de nos évêques. Immunités ecclésiastiques. Hospice des prêtres pauvres et infirmes. \"Spolio\". Glane salésienne / Chanoine C.-M. Rebord,...","Rebord, Charles-Marie (1856-1927)","","","Gallica","http://gallica.bnf.fr/ark:/12148/bpt6k65396552","Administration diocésaine. Gerbe de notes et documents. Ordinations. Consécrations d'églises et d'autels. Conférences ecclésiastiques. Lettres et mandements de nos évêques. Immunités ecclésiastiques. Hospice des prêtres pauvres et infirmes. \"Spolio\". Glane salésienne / Chanoine C.-M. Rebord,... Rebord, Charles-Marie (1856-1927) Gallica"
"Adolphe : anecdote trouvée dans les papiers d'un inconnu (Nouvelle édition, suivie de la Lettre sur Julie et des Réflexions sur le théâtre allemand...) / par Benjamin Constant","Constant, Benjamin (1767-1830)","","","Gallica","http://gallica.bnf.fr/ark:/12148/bpt6k6319469c","Adolphe : anecdote trouvée dans les papiers d'un inconnu (Nouvelle édition, suivie de la Lettre sur Julie et des Réflexions sur le théâtre allemand...) / par Benjamin Constant Constant, Benjamin (1767-1830) Gallica"
"Adèle / par l'auteur de Jean Sbogar","Nodier, Charles (1780-1844)","","","Gallica","http://gallica.bnf.fr/ark:/12148/bpt6k1055904v","Adèle / par l'auteur de Jean Sbogar Nodier, Charles (1780-1844) Gallica"
"Aegri somnia / Max Elskamp","Elskamp, Max (1862-1931)","","","Gallica","http://gallica.bnf.fr/ark:/12148/bpt6k96923450","Aegri somnia / Max Elskamp Elskamp, Max (1862-1931) Gallica"
